# Reality Fracture (FRA) sealed scores, by Claude, 2026-09-25, written before any
# win-rate data existed. Scale: 5 bomb, 4 great, 3.5 very good, 3 good playable,
# 2.5 fine filler, 2 last cuts, 1.5 or less sideboard. Tag rm = deals with a creature.
# Format: collector number | score | tags | note
127|4|| 7/5 trample with two bonuses
128|4.5|| Flash flyer that grows the team
129|3.5|| Flyer that pumps every combat
130|1.5|| One-drop with a counter
131|0.5|| Needs planeswalker cards
132|3|| Flexible instant
133|3|| Flyer now, a Cadet later
134|2.5|| Deathtouch that returns the creature
135|2|| One big hit then gone
136|2.5|| Returns after burn
137|4|| Every attacker pings, makes Cadets
138|3|| Kills a flyer or grows a creature
139|2.5|| Two-drop plus a Heartwood
140|5|| Six-power flying lifelinker
141|4|rm| Flyer that fights on arrival
142|3|| Takes their best card
143|2.5|| Mills three every turn
144|2.5|| Menace plus a land back
145|3|| Surveils a lot, comes back
146|3|| Wall that makes a Cadet
147|3|| Two Cadets twice
148|3|| 3/3 for two
149|3|rm| Removes a cheap permanent
150|3.5|rm| Three damage or a hasty Cadet
151|2.5|| Pings every turn
152|1.5|| Small damage, one discard
153|3|| Counter plus Jace 4
154|3|| Mana boost that grows
155|3|rm| Kills small creatures or draws
156|2.5|| Becomes a flyer with a full graveyard
157|2|| Card draw over two casts
158|4|rm| Kills anything, grows your team
159|4.5|| 5/5 flyer that recasts spells
160|3.5|rm| Fight, protect or draw
161|2.5|| Two-drop with a counter
162|4|rm| Instant exile, borrows small ones
163|3.5|rm| Three damage plus a weapon
164|3|| Flying haste after a ping
165|3|| A Heartwood every turn
166|2|| Colourless filler
167|2.5|| Six-mana flyer
168|2|| Needs many prepared creatures
169|2.5|| Loot now, wipe later
170|1.5|| Slow surveil engine
171|2.5|| Colourless body plus Jace 2
172|2|rm| Slow removal at six mana
173|2|| Gives flying
174|1.5|| Fixing rock
175|2|| Dual land, red-white
176|2.5|| Dual land, white-blue
177|2|| Dual land, white-blue
178|2|| Dual land, black-green
179|1|| Colourless utility land
180|2.5|| Dual land, black-red
181|1|| Colourless utility land
182|2|| Dual land, blue-red
183|2|| Dual land, red-green
184|2|| Dual land, white-black
185|2.5|| Dual land, green-white
186|2.5|| Dual land, red-green
187|0.5|| Enters tapped, green only
188|2|| Makes any one colour, splash help
189|2.5|| Dual land, blue-black
190|2|| Dual land, black-red
191|1|| Island that makes Jace
192|2|| Dual land, blue-black
193|2|| Dual land, green-blue
194|2|| Dual land, green-white
195|2.5|| Slow walker, makes a Pridemate
196|2.5|| First strike, draws on tricks
197|1.5|| Needs big-toughness creatures
198|3|| Four damage to a fighter from hand
199|3|| Grows a creature each Plains
200|1.5|| One-drop, gains life
201|3.5|| Flying 3/3 for three, grows
202|2.5|| Flyer that re-uses enter effects
203|4|| Flying 4/4 that makes flyers
204|2.5|| Flash protection plus a counter
205|3|| Lifelink 3/4, taxes their spells
206|2.5|| Two-power flyer for two
207|3|| Jace 5 that makes Cadets
208|2.5|| Jace 5, grows on life gain
209|2.5|| Extra counters every time
210|2.5|| No combat tricks for anyone
211|2.5|| Looter body
212|3.5|| Card advantage and stuns
213|2|| Draws two on a hit
214|2|| Flyer, spell discount
215|3|| Stuns a blocker on arrival
216|3.5|| Grows a Jace every turn
217|4|| Flying 3/3 for three
218|3|| Draws on every surveil
219|3.5|| Big flyer, hard to remove
220|1.5|| Two-drop, little else
221|1.5|| Only small creatures
222|2.5|| Flying wall, cheap after spells
223|2.5|| Jace 5 that copies a spell
224|3|| Jace 5 that draws extra
225|2|| Big wall, no text
226|2|| Flash surveil or blunts an attacker
227|2.5|| Grows with removal
228|2.5|| Menace two-drop that returns
229|4.5|| Removal every turn, makes beasts
230|3|| 3/3 that pings
231|3|| Returns creatures from graveyard
232|2|| Odd, hits for two
233|2.5|| Deathtouch, strips Jace or counters
234|3|| 4/4 that drains
235|2.5|| 5/5 late, or a trick from hand
236|2.5|| Flash deathtouch trick
237|2|| Discard plus pings
238|2.5|| Jace 5, turns creatures into beasts
239|2|| Small Jace, grows on deaths
240|3|rm| Edict; sacrifice a Jace token
241|2|| Big hitter, dies easily
242|4.5|| One-sided wipe, makes Cadets
243|2|| Wall that hits on arrivals
244|4.5|| Kills, draws, ramps
245|2|| Haste two-drop
246|3|| Menace 4/4 that loots
247|4|| Flying 5/5 dragon plus a body
248|2.5|| Reach three-drop, pings
249|1.5|| Card draw at a cost
250|3|| Two bodies, one flying
251|2.5|| Haste for the team
252|3.5|| Double strike 2/4
253|2|| Burn does one more
254|1.5|| Small Jace, mana
255|3|rm| Jace 5 that shoots a creature
256|2|| Team pump on spells
257|3.5|| Flash 4/4 that grows
258|1.5|| Finds lands, small body
259|4.5|| Makes 4/4s, draws cards
260|3|| 8/8 trample, often cheap
261|3|| Two bodies for four
262|2|| Mana creature
263|2.5|| 3/2 for two
264|1.5|| Finds an enchantment
265|4|| 7/7 that is hard to answer
266|3|| Reach 4/3, grows on life gain
267|2|| Jace 5, gains life
268|3.5|| Jace 7 that makes 4/4s
269|3|rm| Two-drop that fights
270|2.5|| Sacrifice outlet, gains life
271|3|rm| Shrinks or kills a creature
272|1.5|| Eight mana in two colours
273|2.5|| Solid body, needs Jace
274|3|| Counters on every arrival
275|3.5|| Thopters on every spell
276|2|| Needs several walkers
277|3|| Three colours, makes mana bodies
278|4|| Deathtouch 4/4, kills late
279|1|| Stops enter effects, yours too
280|2.5|| 5/4 trample that stays tapped
291|2.5|| Slow walker, makes a Pridemate
